nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,pullrequestsCount,medianBugFixTime,clossedIssues
WZMIAOMIAO/deep-learning-for-image-processing,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,15943,1,0,1292,385.0,0.0,0.0
binux/pyspider,https://github.com/binux/pyspider,15862,51,1,1181,170.0,29.35388888888889,5.0
facebook/prophet,https://github.com/facebook/prophet,15844,256,20,762,413.0,1523.439722222222,97.0
cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,15840,27,0,308,114.0,0.0,0.0
kivy/kivy,https://github.com/kivy/kivy,15838,468,7,12786,3454.0,811.1686111111111,3.0
ipython/ipython,https://github.com/ipython/ipython,15809,831,122,26550,6881.0,144.42069444444445,885.0
magic-wormhole/magic-wormhole,https://github.com/magic-wormhole/magic-wormhole,15775,58,1,1604,170.0,101.75277777777778,1.0
joke2k/faker,https://github.com/joke2k/faker,15759,479,0,3334,1221.0,1684.2027777777776,32.0
ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,15689,96,0,3033,299.0,0.0,0.0
microsoft/recommenders,https://github.com/microsoft/recommenders,15628,10000,26,8392,1158.0,255.3325,180.0
rsms/inter,https://github.com/rsms/inter,15327,22,2,1682,71.0,592.6519444444444,63.0
python/mypy,https://github.com/python/mypy,15319,619,1419,11182,6183.0,5.351111111111111,2250.0
InstaPy/InstaPy,https://github.com/InstaPy/InstaPy,15297,255,1,3346,1160.0,1096.720277777778,207.0
karpathy/minGPT,https://github.com/karpathy/minGPT,15113,12,0,94,61.0,0.0,0.0
kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,15087,280,0,47022,1895.0,0.0,0.0
wting/autojump,https://github.com/wting/autojump,15034,56,7,839,191.0,822.4330555555556,39.0
Kr1s77/awesome-python-login-model,https://github.com/Kr1s77/awesome-python-login-model,15031,10,0,175,34.0,0.0,0.0
twintproject/twint,https://github.com/twintproject/twint,14919,60,1,845,248.0,18.60305555555556,49.0
Delgan/loguru,https://github.com/Delgan/loguru,14847,41,7,714,114.0,64.2675,29.0
jerryjliu/llama_index,https://github.com/jerryjliu/llama_index,14813,152,32,788,912.0,68.62166666666667,24.0
h2y/Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,14764,8,0,203,15.0,0.0,0.0
wagtail/wagtail,https://github.com/wagtail/wagtail,14701,659,0,15167,5837.0,0.0,0.0
onnx/onnx,https://github.com/onnx/onnx,14663,270,77,2342,2742.0,165.5023611111111,348.0
huggingface/diffusers,https://github.com/huggingface/diffusers,14447,434,79,2290,1921.0,140.41541666666666,529.0
mnielsen/neural-networks-and-deep-learning,https://github.com/mnielsen/neural-networks-and-deep-learning,14394,10,0,235,48.0,0.0,0.0
openai/baselines,https://github.com/openai/baselines,14341,466,5,347,370.0,161.86597222222224,8.0
jupyter/jupyter,https://github.com/jupyter/jupyter,14318,96,0,758,248.0,0.0,0.0
mlflow/mlflow,https://github.com/mlflow/mlflow,14303,582,358,3982,5384.0,41.21416666666667,793.0
RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,14303,421,93,4466,1668.0,754.2434722222222,237.0
deepinsight/insightface,https://github.com/deepinsight/insightface,14280,47,2,2236,138.0,519.9063888888888,1.0
ManimCommunity/manim,https://github.com/ManimCommunity/manim,14243,350,0,5724,1841.0,0.0,0.0
GoogleCloudPlatform/microservices-demo,https://github.com/GoogleCloudPlatform/microservices-demo,14101,438,2,1452,1402.0,624.4720833333333,44.0
borisdayma/dalle-mini,https://github.com/borisdayma/dalle-mini,14095,26,0,727,177.0,0.0,0.0
eriklindernoren/PyTorch-GAN,https://github.com/eriklindernoren/PyTorch-GAN,14044,8,0,193,43.0,0.0,0.0
fabric/fabric,https://github.com/fabric/fabric,14031,16,69,1560,548.0,2773.105,285.0
lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,13999,17,0,272,37.0,0.0,0.0
pytorch/vision,https://github.com/pytorch/vision,13920,577,48,3477,4741.0,29.903194444444445,335.0
wangshub/wechat_jump_game,https://github.com/wangshub/wechat_jump_game,13852,65,0,332,289.0,466.3698611111111,4.0
pallets/click,https://github.com/pallets/click,13813,318,7,2259,1011.0,16762.633472222224,82.0
powerline/powerline,https://github.com/powerline/powerline,13795,137,0,2857,745.0,0.0,0.0
yoheinakajima/babyagi,https://github.com/yoheinakajima/babyagi,13783,71,3,381,199.0,22.80527777777778,1.0
aws/aws-cli,https://github.com/aws/aws-cli,13732,355,73,11165,3351.0,54.99916666666667,498.0
KurtBestor/Hitomi-Downloader,https://github.com/KurtBestor/Hitomi-Downloader,13607,19,109,255,63.0,3176.700277777777,454.0
mxrch/GHunt,https://github.com/mxrch/GHunt,13606,26,1,298,73.0,57.535555555555554,27.0
pydantic/pydantic,https://github.com/pydantic/pydantic,13603,360,0,1796,2239.0,0.0,0.0
frappe/erpnext,https://github.com/frappe/erpnext,13598,477,286,45011,20719.0,54.526250000000005,3510.0
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,13567,238,27,4379,669.0,854.2277777777778,27.0
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,13528,644,170,9019,4402.0,22.95138888888889,415.0
aleju/imgaug,https://github.com/aleju/imgaug,13527,25,0,2913,333.0,119.72555555555556,7.0
apprenticeharper/DeDRM_tools,https://github.com/apprenticeharper/DeDRM_tools,13526,58,0,533,134.0,988.4636111111112,1.0
pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,13514,37,1,1618,452.0,673.3916666666667,51.0
youfou/wxpy,https://github.com/youfou/wxpy,13487,4,1,304,20.0,137.35680555555555,6.0
plotly/plotly.py,https://github.com/plotly/plotly.py,13404,264,58,5897,1495.0,308.31055555555554,101.0
NVlabs/stylegan,https://github.com/NVlabs/stylegan,13392,16,0,15,23.0,0.0,0.0
Ciphey/Ciphey,https://github.com/Ciphey/Ciphey,13340,38,11,1886,449.0,197.38694444444445,88.0
ranger/ranger,https://github.com/ranger/ranger,13329,199,148,4999,862.0,1539.9208333333331,154.0
RunaCapital/awesome-oss-alternatives,https://github.com/RunaCapital/awesome-oss-alternatives,13290,94,0,372,152.0,0.0,0.0
horovod/horovod,https://github.com/horovod/horovod,13261,173,202,1318,1548.0,149.37097222222224,277.0
gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot,13236,90,7,1848,707.0,1140.4601388888889,58.0
hindupuravinash/the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,13216,22,0,175,74.0,0.0,0.0
google/yapf,https://github.com/google/yapf,13214,139,9,1259,301.0,116.53430555555556,32.0
saltstack/salt,https://github.com/saltstack/salt,13190,2447,1570,117346,38832.0,104.67097222222222,10333.0
lra/mackup,https://github.com/lra/mackup,13180,417,0,2264,1256.0,0.0,0.0
