nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,pullrequestsCount
jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,20454,94,0,9336
xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,20212,11,0,137
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,20115,28,0,176
microsoft/JARVIS,https://github.com/microsoft/JARVIS,20100,25,0,74
junyanz/pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,19845,63,0,525
heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,19772,99,3,449
cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,19505,253,23,2962
Textualize/textual,https://github.com/Textualize/textual,19216,76,18,6143
lm-sys/FastChat,https://github.com/lm-sys/FastChat,19078,53,6,213
openai/gpt-2,https://github.com/openai/gpt-2,18999,22,0,57
plotly/dash,https://github.com/plotly/dash,18646,164,12,6782
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,18614,229,3,12092
magenta/magenta,https://github.com/magenta/magenta,18447,149,0,1420
saleor/saleor,https://github.com/saleor/saleor,18421,237,222,20398
jina-ai/jina,https://github.com/jina-ai/jina,18302,176,0,8296
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,17900,99,0,570
d2l-ai/d2l-en,https://github.com/d2l-ai/d2l-en,17766,306,1,6334
jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,17749,47,0,644
zulip/zulip,https://github.com/zulip/zulip,17748,1753,337,51387
chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,17565,87,3,743
pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,17560,399,114,6644
bokeh/bokeh,https://github.com/bokeh/bokeh,17557,573,189,20095
Vonng/ddia,https://github.com/Vonng/ddia,17458,93,0,770
matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,17354,1288,0,47103
sanic-org/sanic,https://github.com/sanic-org/sanic,17040,291,18,2782
nginx-proxy/nginx-proxy,https://github.com/nginx-proxy/nginx-proxy,17037,124,0,1024
pyscript/pyscript,https://github.com/pyscript/pyscript,16553,112,27,892
AnthonyCalandra/modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,16549,35,0,169
spotify/luigi,https://github.com/spotify/luigi,16523,527,1,4078
jantic/DeOldify,https://github.com/jantic/DeOldify,16515,37,0,517
ungoogled-software/ungoogled-chromium,https://github.com/ungoogled-software/ungoogled-chromium,16513,74,20,2064
mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,16377,222,1,1852
RasaHQ/rasa,https://github.com/RasaHQ/rasa,16202,488,0,31737
huggingface/datasets,https://github.com/huggingface/datasets,16112,593,126,3416
quantopian/zipline,https://github.com/quantopian/zipline,16112,129,15,6226
Jack-Cherish/python-spider,https://github.com/Jack-Cherish/python-spider,16101,8,0,338
mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,16041,542,39,11488
kholia/OSX-KVM,https://github.com/kholia/OSX-KVM,16036,32,0,25
openai/chatgpt-retrieval-plugin,https://github.com/openai/chatgpt-retrieval-plugin,16030,388,0,73
WZMIAOMIAO/deep-learning-for-image-processing,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,15943,1,0,1292
binux/pyspider,https://github.com/binux/pyspider,15862,51,1,1181
facebook/prophet,https://github.com/facebook/prophet,15844,256,20,762
cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,15840,27,0,308
kivy/kivy,https://github.com/kivy/kivy,15838,468,7,12786
ipython/ipython,https://github.com/ipython/ipython,15809,831,122,26550
magic-wormhole/magic-wormhole,https://github.com/magic-wormhole/magic-wormhole,15775,58,1,1604
joke2k/faker,https://github.com/joke2k/faker,15759,479,0,3334
ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,15689,96,0,3033
microsoft/recommenders,https://github.com/microsoft/recommenders,15628,10000,26,8392
rsms/inter,https://github.com/rsms/inter,15327,22,2,1682
python/mypy,https://github.com/python/mypy,15319,619,1419,11182
InstaPy/InstaPy,https://github.com/InstaPy/InstaPy,15297,255,1,3346
karpathy/minGPT,https://github.com/karpathy/minGPT,15113,12,0,94
kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,15087,280,0,47022
wting/autojump,https://github.com/wting/autojump,15034,56,7,839
Kr1s77/awesome-python-login-model,https://github.com/Kr1s77/awesome-python-login-model,15031,10,0,175
twintproject/twint,https://github.com/twintproject/twint,14919,60,1,845
Delgan/loguru,https://github.com/Delgan/loguru,14847,41,7,714
jerryjliu/llama_index,https://github.com/jerryjliu/llama_index,14813,152,32,788
h2y/Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,14764,8,0,203
wagtail/wagtail,https://github.com/wagtail/wagtail,14701,659,0,15167
