nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
microsoft/TaskMatrix,https://github.com/microsoft/TaskMatrix,32572,20,0,103,0.0,89.0,Python,NaoTipada,1.1573033707865168,174.0,45.0,0.0,0.0
psf/black,https://github.com/psf/black,32284,374,0,1550,0.0,1380.0,Python,NaoTipada,1.1231884057971016,3647.0,1253.0,0.0,0.0
LAION-AI/Open-Assistant,https://github.com/LAION-AI/Open-Assistant,32196,282,17,3259,129.0,1668.0,Python,NaoTipada,1.953836930455636,6358.0,646.0,30.11736111111111,146.0
xtekky/gpt4free,https://github.com/xtekky/gpt4free,34080,65,9,466,13.0,151.0,Python,NaoTipada,3.0860927152317883,316.0,60.0,6.330277777777778,22.0
XX-net/XX-Net,https://github.com/XX-net/XX-Net,31991,73,0,2497,0.0,484.0,Python,NaoTipada,5.159090909090909,15244.0,3555.0,0.0,0.0
openai/gym,https://github.com/openai/gym,31311,721,0,1757,1.0,1439.0,Python,NaoTipada,1.2209867963863794,2970.0,132.0,10826.348333333332,1.0
testerSunshine/12306,https://github.com/testerSunshine/12306,31032,24,2,435,9.0,146.0,Python,NaoTipada,2.9794520547945207,517.0,367.0,40.246944444444445,11.0
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,30945,427,0,10321,0.0,2572.0,Python,NaoTipada,4.012830482115086,11670.0,1641.0,0.0,0.0
Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,30181,30,3,262,4.0,81.0,Python,NaoTipada,3.234567901234568,128.0,11.0,2375.6705555555554,7.0
apache/airflow,https://github.com/apache/airflow,30116,2477,0,19662,0.0,20939.0,Python,NaoTipada,0.9390133244185492,56837.0,4314.0,0.0,0.0
certbot/certbot,https://github.com/certbot/certbot,29896,473,46,10783,360.0,4501.0,Python,NaoTipada,2.395689846700733,7839.0,594.0,479.5230555555555,406.0
mingrammer/diagrams,https://github.com/mingrammer/diagrams,29892,127,4,511,7.0,441.0,Python,NaoTipada,1.1587301587301588,266.0,44.0,51.255,11.0
babysor/MockingBird,https://github.com/babysor/MockingBird,28633,34,4,176,6.0,82.0,Python,NaoTipada,2.1463414634146343,2345.0,325.0,48.23319444444444,10.0
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,28534,14,0,106,0.0,39.0,Python,NaoTipada,2.717948717948718,525.0,40.0,0.0,0.0
ccxt/ccxt,https://github.com/ccxt/ccxt,28151,615,173,72785,711.0,9187.0,Python,NaoTipada,7.922608033090237,137082.0,150191.0,9.03388888888889,884.0
httpie/httpie,https://github.com/httpie/httpie,27612,145,31,1746,121.0,582.0,Python,NaoTipada,3.0,1963.0,198.0,475.37055555555554,152.0
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,26933,116,1,10069,1306.0,350.0,Python,NaoTipada,28.768571428571427,13288.0,4322.0,49.33680555555556,1307.0
explosion/spaCy,https://github.com/explosion/spaCy,26064,647,16,15902,758.0,3739.0,Python,NaoTipada,4.253008825889276,9005.0,898.0,196.1923611111111,774.0
facebookresearch/Detectron,https://github.com/facebookresearch/Detectron,25738,77,0,142,5.0,100.0,Python,NaoTipada,1.42,1704.0,211.0,85.89111111111112,5.0
encode/django-rest-framework,https://github.com/encode/django-rest-framework,25495,1209,8,8679,321.0,4524.0,Python,NaoTipada,1.9184350132626,5529.0,1016.0,304.3393055555556,329.0
acheong08/ChatGPT,https://github.com/acheong08/ChatGPT,25320,122,0,1467,276.0,328.0,Python,NaoTipada,4.472560975609756,343.0,26.0,24.0125,276.0
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,25139,220,8,1860,250.0,342.0,Python,NaoTipada,5.43859649122807,8532.0,662.0,18.45513888888889,258.0
python-poetry/poetry,https://github.com/python-poetry/poetry,24947,469,0,2838,0.0,2354.0,Python,NaoTipada,1.205607476635514,5249.0,257.0,0.0,0.0
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,24766,230,5,1465,22.0,608.0,Python,NaoTipada,2.4095394736842106,7085.0,596.0,31.48777777777778,27.0
ycm-core/YouCompleteMe,https://github.com/ycm-core/YouCompleteMe,24749,162,0,3090,16.0,960.0,Python,NaoTipada,3.21875,1633.0,574.0,1095.6788888888889,16.0
tqdm/tqdm,https://github.com/tqdm/tqdm,24719,109,0,1940,0.0,512.0,Python,NaoTipada,3.7890625,1187.0,156.0,0.0,0.0
streamlit/streamlit,https://github.com/streamlit/streamlit,24532,177,0,5500,1519.0,3325.0,Python,NaoTipada,1.6541353383458646,9453.0,614.0,26.25555555555556,1519.0
google/python-fire,https://github.com/google/python-fire,24491,63,10,287,23.0,162.0,Python,NaoTipada,1.771604938271605,1385.0,292.0,1937.040555555556,33.0
microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,24241,221,260,1513,471.0,1754.0,Python,NaoTipada,0.862599771949829,11721.0,1269.0,207.97416666666663,731.0
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,24092,398,30,2539,171.0,2874.0,Python,NaoTipada,0.883437717466945,9844.0,1008.0,467.3730555555556,201.0
pypa/pipenv,https://github.com/pypa/pipenv,23828,440,0,8303,0.0,1686.0,Python,NaoTipada,4.924673784104389,34678.0,2641.0,0.0,0.0
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,23797,19,3,188,63.0,107.0,Python,NaoTipada,1.7570093457943925,541.0,392.0,45.16138888888889,66.0
THUDM/ChatGLM-6B,https://github.com/THUDM/ChatGLM-6B,23486,48,1,325,2.0,95.0,Python,NaoTipada,3.421052631578948,933.0,40.0,256.93527777777774,3.0
beurtschipper/Depix,https://github.com/beurtschipper/Depix,23456,10,0,54,0.0,28.0,Python,NaoTipada,1.9285714285714288,107.0,136.0,0.0,0.0
numpy/numpy,https://github.com/numpy/numpy,23449,1479,0,32271,0.0,12275.0,Python,NaoTipada,2.6290020366598776,26241.0,2842.0,0.0,0.0
getredash/redash,https://github.com/getredash/redash,23104,392,45,7314,256.0,3662.0,Python,NaoTipada,1.9972692517749864,10661.0,1170.0,100.82194444444444,301.0
google/jax,https://github.com/google/jax,23046,515,424,16017,1282.0,9886.0,Python,NaoTipada,1.6201699372850495,28056.0,2220.0,17.261944444444445,1706.0
matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN,23026,46,0,203,0.0,278.0,Python,NaoTipada,0.7302158273381295,498.0,68.0,0.0,0.0
Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,22908,846,193,9247,2408.0,8885.0,Python,NaoTipada,1.0407428249859314,17985.0,1292.0,88.91708333333332,2601.0
nicolargo/glances,https://github.com/nicolargo/glances,22765,149,22,4835,473.0,667.0,Python,NaoTipada,7.248875562218891,3325.0,265.0,268.27166666666665,495.0
microsoft/cascadia-code,https://github.com/microsoft/cascadia-code,22453,10000,0,196,0.0,94.0,Python,NaoTipada,2.0851063829787235,66.0,11.0,0.0,0.0
deezer/spleeter,https://github.com/deezer/spleeter,22431,17,61,530,245.0,111.0,Python,NaoTipada,4.774774774774775,282.0,16.0,88.76597222222222,306.0
eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,22139,6,0,374,0.0,35.0,Python,NaoTipada,10.685714285714283,732.0,277.0,0.0,0.0
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,21955,341,369,2288,317.0,1252.0,Python,NaoTipada,1.827476038338658,22061.0,1479.0,94.31319444444443,686.0
OpenBB-finance/OpenBBTerminal,https://github.com/OpenBB-finance/OpenBBTerminal,21906,191,43,5361,1202.0,3068.0,Python,NaoTipada,1.7473924380704042,18286.0,2220.0,34.121944444444445,1245.0
python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,21852,198,0,2566,0.0,1486.0,Python,NaoTipada,1.7267833109017496,7668.0,523.0,0.0,0.0
sebastianruder/NLP-progress,https://github.com/sebastianruder/NLP-progress,21603,289,0,791,0.0,535.0,Python,NaoTipada,1.4785046728971962,79.0,3.0,0.0,0.0
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,21571,265,0,20813,375.0,4793.0,Python,NaoTipada,4.342374295848112,8047.0,834.0,19.933888888888887,375.0
celery/celery,https://github.com/celery/celery,21468,1059,0,12186,0.0,2926.0,Python,NaoTipada,4.16473000683527,10771.0,1129.0,0.0,0.0
chubin/wttr.in,https://github.com/chubin/wttr.in,21463,164,19,1256,18.0,291.0,Python,NaoTipada,4.316151202749141,882.0,102.0,5918.587361111111,37.0
locustio/locust,https://github.com/locustio/locust,21282,245,6,3979,426.0,897.0,Python,NaoTipada,4.435897435897436,2672.0,494.0,169.84416666666667,432.0
tornadoweb/tornado,https://github.com/tornadoweb/tornado,21101,369,0,4581,0.0,1489.0,Python,NaoTipada,3.076561450638012,5497.0,480.0,0.0,0.0
vnpy/vnpy,https://github.com/vnpy/vnpy,20808,119,0,6554,310.0,1421.0,Python,NaoTipada,4.612244897959184,777.0,53.0,405.6538888888889,310.0
jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,20454,94,0,9336,0.0,5416.0,Python,NaoTipada,1.723781388478582,13668.0,2503.0,0.0,0.0
xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,20212,11,0,137,0.0,65.0,Python,NaoTipada,2.107692307692308,281.0,19.0,0.0,0.0
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,20115,28,0,176,0.0,99.0,Python,NaoTipada,1.7777777777777777,128.0,2.0,0.0,0.0
microsoft/JARVIS,https://github.com/microsoft/JARVIS,20100,25,0,74,0.0,45.0,Python,NaoTipada,1.6444444444444444,317.0,58.0,0.0,0.0
junyanz/pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,19845,63,0,525,0.0,144.0,Python,NaoTipada,3.6458333333333335,457.0,60.0,0.0,0.0
heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,19772,99,3,449,6.0,242.0,Python,NaoTipada,1.8553719008264464,724.0,104.0,9056.760833333334,9.0
cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,19505,253,23,2962,58.0,1038.0,Python,NaoTipada,2.8535645472061657,606.0,72.0,213.1220833333333,81.0
Textualize/textual,https://github.com/Textualize/textual,19216,76,18,6143,138.0,1078.0,Python,NaoTipada,5.698515769944342,7282.0,1210.0,121.385,156.0
lm-sys/FastChat,https://github.com/lm-sys/FastChat,19078,53,6,213,9.0,285.0,Python,NaoTipada,0.7473684210526316,965.0,118.0,100.84416666666668,15.0
openai/gpt-2,https://github.com/openai/gpt-2,18999,22,0,57,0.0,70.0,Python,NaoTipada,0.8142857142857143,74.0,5.0,0.0,0.0
plotly/dash,https://github.com/plotly/dash,18646,164,12,6782,22.0,936.0,Python,NaoTipada,7.245726495726496,8873.0,1952.0,189.3518055555556,34.0
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,18614,229,3,12092,1644.0,1158.0,Python,NaoTipada,10.442141623488771,17486.0,2452.0,2.1283333333333334,1647.0
magenta/magenta,https://github.com/magenta/magenta,18447,149,0,1420,0.0,1128.0,Python,NaoTipada,1.2588652482269505,6286.0,554.0,0.0,0.0
saleor/saleor,https://github.com/saleor/saleor,18421,237,222,20398,730.0,8052.0,Python,NaoTipada,2.533283656234476,24065.0,5002.0,179.87555555555556,952.0
jina-ai/jina,https://github.com/jina-ai/jina,18302,176,0,8296,269.0,3971.0,Python,NaoTipada,2.089146310752959,7774.0,195985.0,168.3788888888889,269.0
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,17900,99,0,570,4.0,212.0,Python,NaoTipada,2.688679245283019,1671.0,482.0,197.5313888888889,4.0
d2l-ai/d2l-en,https://github.com/d2l-ai/d2l-en,17766,306,1,6334,7.0,2116.0,Python,NaoTipada,2.993383742911153,1821.0,365.0,95.15,8.0
jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,17749,47,0,644,4.0,177.0,Python,NaoTipada,3.638418079096045,291.0,66.0,3135.5451388888887,4.0
zulip/zulip,https://github.com/zulip/zulip,17748,1753,337,51387,1835.0,17491.0,Python,NaoTipada,2.9379109256188896,36197.0,2970.0,282.6,2172.0
chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,17565,87,3,743,8.0,290.0,Python,NaoTipada,2.5620689655172413,1503.0,464.0,3249.6359722222223,11.0
pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,17560,399,114,6644,312.0,1996.0,Python,NaoTipada,3.3286573146292584,12723.0,584.0,22.22833333333333,426.0
bokeh/bokeh,https://github.com/bokeh/bokeh,17557,573,189,20095,2156.0,5694.0,Python,NaoTipada,3.5291534949069194,11527.0,1437.0,81.82083333333333,2345.0
Vonng/ddia,https://github.com/Vonng/ddia,17458,93,0,770,1.0,240.0,Python,NaoTipada,3.208333333333333,12.0,1.0,39.14805555555556,1.0
matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,17354,1288,0,47103,0.0,16377.0,Python,NaoTipada,2.876167796299689,22225.0,2283.0,0.0,0.0
sanic-org/sanic,https://github.com/sanic-org/sanic,17040,291,18,2782,105.0,1451.0,Python,NaoTipada,1.9172984148862853,5275.0,400.0,356.3786111111111,123.0
nginx-proxy/nginx-proxy,https://github.com/nginx-proxy/nginx-proxy,17037,124,0,1024,0.0,605.0,Python,NaoTipada,1.6925619834710743,309.0,62.0,0.0,0.0
pyscript/pyscript,https://github.com/pyscript/pyscript,16553,112,27,892,131.0,728.0,Python,NaoTipada,1.2252747252747254,1674.0,337.0,225.16597222222225,158.0
AnthonyCalandra/modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,16549,35,0,169,3.0,71.0,Python,NaoTipada,2.380281690140845,17.0,4.0,501.3005555555556,3.0
spotify/luigi,https://github.com/spotify/luigi,16523,527,1,4078,24.0,2270.0,Python,NaoTipada,1.7964757709251102,8142.0,1066.0,11648.847916666666,25.0
jantic/DeOldify,https://github.com/jantic/DeOldify,16515,37,0,517,0.0,116.0,Python,NaoTipada,4.456896551724138,3853.0,542.0,0.0,0.0
ungoogled-software/ungoogled-chromium,https://github.com/ungoogled-software/ungoogled-chromium,16513,74,20,2064,153.0,449.0,Python,NaoTipada,4.596881959910913,656.0,38.0,75.06888888888889,173.0
mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,16377,222,1,1852,180.0,1129.0,Python,NaoTipada,1.6403897254207265,4220.0,967.0,1173.5518055555556,181.0
RasaHQ/rasa,https://github.com/RasaHQ/rasa,16202,488,0,31737,0.0,5722.0,Python,NaoTipada,5.546487242222999,12786.0,620.0,0.0,0.0
