nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
pypa/pipenv,https://github.com/pypa/pipenv,23828,440,0,8303,0.0,1686.0,Python,NaoTipada
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,23797,19,3,188,63.0,107.0,Python,NaoTipada
THUDM/ChatGLM-6B,https://github.com/THUDM/ChatGLM-6B,23486,48,1,325,2.0,95.0,Python,NaoTipada
beurtschipper/Depix,https://github.com/beurtschipper/Depix,23456,10,0,54,0.0,28.0,Python,NaoTipada
numpy/numpy,https://github.com/numpy/numpy,23449,1479,0,32271,0.0,12275.0,Python,NaoTipada
getredash/redash,https://github.com/getredash/redash,23104,392,45,7314,256.0,3662.0,Python,NaoTipada
google/jax,https://github.com/google/jax,23046,515,424,16017,1267.0,9886.0,Python,NaoTipada
matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN,23026,46,0,203,0.0,278.0,Python,NaoTipada
Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,22908,846,193,9247,2403.0,8885.0,Python,NaoTipada
nicolargo/glances,https://github.com/nicolargo/glances,22765,149,22,4835,465.0,667.0,Python,NaoTipada
microsoft/cascadia-code,https://github.com/microsoft/cascadia-code,22453,10000,0,196,0.0,94.0,Python,NaoTipada
deezer/spleeter,https://github.com/deezer/spleeter,22431,17,61,530,245.0,111.0,Python,NaoTipada
eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,22139,6,0,374,0.0,35.0,Python,NaoTipada
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,21955,341,369,2288,317.0,1252.0,Python,NaoTipada
OpenBB-finance/OpenBBTerminal,https://github.com/OpenBB-finance/OpenBBTerminal,21906,191,43,5361,1193.0,3068.0,Python,NaoTipada
python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,21852,198,0,2566,0.0,1486.0,Python,NaoTipada
sebastianruder/NLP-progress,https://github.com/sebastianruder/NLP-progress,21603,289,0,791,0.0,535.0,Python,NaoTipada
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,21571,265,0,20813,375.0,4793.0,Python,NaoTipada
celery/celery,https://github.com/celery/celery,21468,1059,0,12186,0.0,2926.0,Python,NaoTipada
chubin/wttr.in,https://github.com/chubin/wttr.in,21463,164,19,1256,18.0,291.0,Python,NaoTipada
locustio/locust,https://github.com/locustio/locust,21282,245,6,3979,424.0,897.0,Python,NaoTipada
tornadoweb/tornado,https://github.com/tornadoweb/tornado,21101,369,0,4581,0.0,1489.0,Python,NaoTipada
vnpy/vnpy,https://github.com/vnpy/vnpy,20808,119,0,6554,310.0,1421.0,Python,NaoTipada
jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,20454,94,0,9336,0.0,5416.0,Python,NaoTipada
xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,20212,11,0,137,0.0,65.0,Python,NaoTipada
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,20115,28,0,176,0.0,99.0,Python,NaoTipada
microsoft/JARVIS,https://github.com/microsoft/JARVIS,20100,25,0,74,0.0,45.0,Python,NaoTipada
junyanz/pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,19845,63,0,525,0.0,144.0,Python,NaoTipada
heartexlabs/labelImg,https://github.com/heartexlabs/labelImg,19772,99,3,449,6.0,242.0,Python,NaoTipada
cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter,19505,253,23,2962,58.0,1038.0,Python,NaoTipada
Textualize/textual,https://github.com/Textualize/textual,19216,76,18,6143,135.0,1078.0,Python,NaoTipada
lm-sys/FastChat,https://github.com/lm-sys/FastChat,19078,53,6,213,9.0,285.0,Python,NaoTipada
openai/gpt-2,https://github.com/openai/gpt-2,18999,22,0,57,0.0,70.0,Python,NaoTipada
plotly/dash,https://github.com/plotly/dash,18646,164,12,6782,22.0,936.0,Python,NaoTipada
