nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,20733,1321,0,33649.0,0.0,7942.0,Java,Tipada,4.2368421052631575,37136,10469,0.0,0.0
google/ExoPlayer,https://github.com/google/ExoPlayer,20688,242,142,15057.0,1128.0,1179.0,Java,Tipada,12.770992366412214,50472,17485,467.6979166666666,1270.0
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,19779,92,0,543.0,0.0,238.0,Java,Tipada,2.2815126050420167,175,25,0.0,0.0
elunez/eladmin,https://github.com/elunez/eladmin,19682,53,2,509.0,5.0,160.0,Java,Tipada,3.18125,1446,356,23.08222222222222,7.0
didi/DoKit,https://github.com/didi/DoKit,19444,106,10,2314.0,12.0,448.0,Java,Tipada,5.165178571428571,22730,3724,496.4548611111112,22.0
apache/rocketmq,https://github.com/apache/rocketmq,19191,473,0,8078.0,201.0,3284.0,Java,Tipada,2.4598051157125456,32794,6134,79.1238888888889,201.0
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,18916,31,1,184.0,0.0,130.0,Java,Tipada,1.4153846153846157,137,134,0.0,1.0
oracle/graal,https://github.com/oracle/graal,18539,1401,343,74124.0,1137.0,2902.0,Java,Tipada,25.542384562370778,288570,40401,227.65138888888885,1480.0
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,18522,20,0,1489.0,0.0,56.0,Java,Tipada,26.589285714285715,6292,1137,0.0,0.0
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,18505,43,3,462.0,36.0,153.0,Java,Tipada,3.019607843137255,339,38,1195.496666666667,39.0
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,18462,206,4,4617.0,125.0,1618.0,Java,Tipada,2.853522867737948,9374,1351,58.30819444444444,129.0
apache/shardingsphere,https://github.com/apache/shardingsphere,18338,516,0,38611.0,1035.0,16302.0,Java,Tipada,2.368482394798184,39573,6554,24.62736111111111,1035.0
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,18143,127,0,2835.0,106.0,398.0,Java,Tipada,7.123115577889447,1968,448,17.43486111111111,106.0
linlinjava/litemall,https://github.com/linlinjava/litemall,17972,58,1,1181.0,4.0,173.0,Java,Tipada,6.826589595375722,19911,3479,1453.0959722222224,5.0
Anuken/Mindustry,https://github.com/Anuken/Mindustry,17851,519,0,16333.0,2574.0,4767.0,Java,Tipada,3.4262638976295365,26322,10604,5.289583333333333,2574.0
dianping/cat,https://github.com/dianping/cat,17724,89,0,7410.0,2.0,1068.0,Java,Tipada,6.938202247191011,59573,32895,3323.803888888889,2.0
forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,17284,1,0,72.0,0.0,13.0,Java,Tipada,5.538461538461538,645,701,0.0,0.0
nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,16806,38,15,1038.0,74.0,152.0,Java,Tipada,6.828947368421052,1383,198,539.8940277777779,89.0
Tencent/tinker,https://github.com/Tencent/tinker,16758,36,32,815.0,59.0,153.0,Java,Tipada,5.326797385620915,8601,1669,570.2727777777778,91.0
yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,16750,4,2,678.0,4.0,29.0,Java,Tipada,23.379310344827587,4719,2044,74.8963888888889,6.0
shuzheng/zheng,https://github.com/shuzheng/zheng,16499,9,0,1241.0,0.0,135.0,Java,Tipada,9.192592592592591,7072,2490,0.0,0.0
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,16231,94,46,1929.0,170.0,387.0,Java,Tipada,4.984496124031008,2643,604,2236.58375,216.0
openzipkin/zipkin,https://github.com/openzipkin/zipkin,16158,161,48,2727.0,150.0,2188.0,Java,Tipada,1.2463436928702012,9076,2503,144.49930555555557,198.0
LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,15955,65,0,1324.0,7.0,157.0,Java,Tipada,8.433121019108281,2200,606,115.21444444444444,7.0
keycloak/keycloak,https://github.com/keycloak/keycloak,15919,877,0,21916.0,0.0,11448.0,Java,Tipada,1.9143955276030749,107402,20260,0.0,0.0
JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,15434,3,0,168.0,0.0,65.0,Java,Tipada,2.5846153846153848,665,147,0.0,0.0
android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,15328,11,0,248.0,1.0,58.0,Java,Tipada,4.275862068965517,418,42,659.9133333333333,1.0
Tencent/APIJSON,https://github.com/Tencent/APIJSON,15218,60,0,3060.0,0.0,120.0,Java,Tipada,25.5,3670,1301,0.0,0.0
dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,15138,1,0,495.0,0.0,40.0,Java,Tipada,12.375,674,339,0.0,0.0
medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,15064,36,0,259.0,0.0,105.0,Java,Tipada,2.466666666666667,545,86,0.0,0.0
material-components/material-components-android,https://github.com/material-components/material-components-android,14920,182,212,5202.0,1511.0,544.0,Java,Tipada,9.5625,21065,2113,58.013888888888886,1723.0
justauth/JustAuth,https://github.com/justauth/JustAuth,14728,34,3,711.0,12.0,69.0,Java,Tipada,10.304347826086955,1072,308,885.5702777777778,15.0
williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,14687,50,2,1603.0,3.0,204.0,Java,Tipada,7.857843137254902,7159,2672,697.4025,5.0
baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,14472,140,0,5313.0,2.0,725.0,Java,Tipada,7.328275862068965,5650,1007,490.6301388888889,2.0
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,14415,14,1,160.0,2.0,58.0,Java,Tipada,2.7586206896551726,74,2,2151.6784722222224,3.0
antlr/antlr4,https://github.com/antlr/antlr4,14391,312,0,9107.0,150.0,1943.0,Java,Tipada,4.687081832218219,21391,5689,811.0045833333334,150.0
android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,14342,38,6,1661.0,20.0,70.0,Java,Tipada,23.728571428571428,8013,3821,9455.994583333331,26.0
alibaba/ARouter,https://github.com/alibaba/ARouter,14178,22,1,301.0,2.0,151.0,Java,Tipada,1.9933774834437088,699,177,5091.011527777779,3.0
Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,14049,25,16,1007.0,26.0,39.0,Java,Tipada,25.82051282051282,12756,1366,453.8863888888889,42.0
mockito/mockito,https://github.com/mockito/mockito,13920,272,9,5923.0,66.0,1498.0,Java,Tipada,3.9539385847797055,8315,3055,219.3798611111111,75.0
YunaiV/ruoyi-vue-pro,https://github.com/YunaiV/ruoyi-vue-pro,13816,138,0,4085.0,59.0,52.0,Java,Tipada,78.5576923076923,21883,3750,224.5975,59.0
Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,13709,40,40,1153.0,47.0,139.0,Java,Tipada,8.29496402877698,4318,1443,6500.0725,87.0
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,13597,161,265,13837.0,590.0,3544.0,Java,Tipada,3.904345372460496,62219,8385,456.5236111111111,855.0
orhanobut/logger,https://github.com/orhanobut/logger,13580,11,3,146.0,10.0,62.0,Java,Tipada,2.3548387096774195,247,23,1193.2444444444443,13.0
lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,13565,9,0,76.0,0.0,24.0,Java,Tipada,3.1666666666666665,140,25,0.0,0.0
ben-manes/caffeine,https://github.com/ben-manes/caffeine,13549,57,0,1672.0,1.0,239.0,Java,Tipada,6.99581589958159,14544,3331,16055.336944444443,1.0
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,13535,244,57,5657.0,414.0,2150.0,Java,Tipada,2.6311627906976742,27652,4655,62.59555555555556,471.0
arduino/Arduino,https://github.com/arduino/Arduino,13526,263,0,7375.0,857.0,1494.0,Java,Tipada,4.936412315930388,6441,1777,23.64555555555556,857.0
apache/hadoop,https://github.com/apache/hadoop,13486,548,0,26612.0,0.0,5638.0,Java,Tipada,4.720113515431004,256001,55641,0.0,0.0
