nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount
infinitered/ignite,https://github.com/infinitered/ignite,15266,193,8,2419
vueuse/vueuse,https://github.com/vueuse/vueuse,15159,469,0,2687
mattermost/focalboard,https://github.com/mattermost/focalboard,15057,274,230,3584
justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,14975,22,6,488
airbnb/react-sketchapp,https://github.com/airbnb/react-sketchapp,14965,81,3,780
xtermjs/xterm.js,https://github.com/xtermjs/xterm.js,14911,264,0,8657
graphql/graphiql,https://github.com/graphql/graphiql,14895,269,85,3643
learn-anything/learn-anything,https://github.com/learn-anything/learn-anything,14805,5,0,5
verdaccio/verdaccio,https://github.com/verdaccio/verdaccio,14739,278,0,4921
feathersjs/feathers,https://github.com/feathersjs/feathers,14587,211,2,3967
cyrildiagne/ar-cutpaste,https://github.com/cyrildiagne/ar-cutpaste,14521,6,0,50
sass/sass,https://github.com/sass/sass,14494,26,4,526
lit/lit,https://github.com/lit/lit,14493,155,0,2043
shadcn/ui,https://github.com/shadcn/ui,14467,48,2,128
OI-wiki/OI-wiki,https://github.com/OI-wiki/OI-wiki,14392,707,0,11164
umijs/qiankun,https://github.com/umijs/qiankun,14361,106,8,299
pavlobu/deskreen,https://github.com/pavlobu/deskreen,14139,20,32,252
umijs/umi,https://github.com/umijs/umi,13984,428,0,7097
carloscuesta/gitmoji,https://github.com/carloscuesta/gitmoji,13945,96,0,983
adonisjs/core,https://github.com/adonisjs/core,13905,56,0,1903
trufflesuite/truffle,https://github.com/trufflesuite/truffle,13891,250,47,15513
baidu/amis,https://github.com/baidu/amis,13793,171,46,11203
BrainJS/brain.js,https://github.com/BrainJS/brain.js,13716,99,18,1487
conventional-changelog/commitlint,https://github.com/conventional-changelog/commitlint,13713,210,32,2344
foambubble/foam,https://github.com/foambubble/foam,13711,123,8,1036
formatjs/formatjs,https://github.com/formatjs/formatjs,13697,268,17,4635
usememos/memos,https://github.com/usememos/memos,13663,100,36,1174
angular-ui/ui-router,https://github.com/angular-ui/ui-router,13635,187,0,2121
transitive-bullshit/chatgpt-api,https://github.com/transitive-bullshit/chatgpt-api,13555,126,0,848
rrweb-io/rrweb,https://github.com/rrweb-io/rrweb,13549,99,35,1146
reduxjs/redux-devtools,https://github.com/reduxjs/redux-devtools,13501,107,11,1205
tldraw/tldraw,https://github.com/tldraw/tldraw,13495,118,9,1762
apollographql/apollo-server,https://github.com/apollographql/apollo-server,13353,531,0,8043
typescript-eslint/typescript-eslint,https://github.com/typescript-eslint/typescript-eslint,13328,515,97,3713
pmndrs/jotai,https://github.com/pmndrs/jotai,13273,158,0,1181
signalapp/Signal-Desktop,https://github.com/signalapp/Signal-Desktop,13268,222,520,9199
schickling/chromeless,https://github.com/schickling/chromeless,13236,46,14,559
mckaywrigley/chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,13229,88,0,290
chartist-js/chartist,https://github.com/chartist-js/chartist,13183,66,3,962
compiler-explorer/compiler-explorer,https://github.com/compiler-explorer/compiler-explorer,13151,356,213,8045
expo/create-react-native-app,https://github.com/expo/create-react-native-app,13126,70,0,373
upscayl/upscayl,https://github.com/upscayl/upscayl,13099,13,20,376
piotrwitek/react-redux-typescript-guide,https://github.com/piotrwitek/react-redux-typescript-guide,13073,29,0,323
wong2/chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13014,19,0,223
sindresorhus/got,https://github.com/sindresorhus/got,12989,182,12,1479
tinymce/tinymce,https://github.com/tinymce/tinymce,12932,234,279,25623
jupyterlab/jupyterlab,https://github.com/jupyterlab/jupyterlab,12891,485,450,25391
danilowoz/react-content-loader,https://github.com/danilowoz/react-content-loader,12876,45,0,281
video-dev/hls.js,https://github.com/video-dev/hls.js,12827,253,49,9153
turbolinks/turbolinks,https://github.com/turbolinks/turbolinks,12790,30,17,359
blitz-js/blitz,https://github.com/blitz-js/blitz,12782,106,0,543
electron-userland/electron-builder,https://github.com/electron-userland/electron-builder,12773,484,24,2800
tensorflow/tfjs-models,https://github.com/tensorflow/tfjs-models,12763,109,0,826
SigNoz/signoz,https://github.com/SigNoz/signoz,12685,91,34,1996
rjsf-team/react-jsonschema-form,https://github.com/rjsf-team/react-jsonschema-form,12623,293,128,1439
facebook/flipper,https://github.com/facebook/flipper,12607,370,6,8156
