nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
conwnet/github1s,https://github.com/conwnet/github1s,21929,43,0,351,13.0,291.0,Typescript,Tipada
withfig/autocomplete,https://github.com/withfig/autocomplete,21924,389,11,4267,49.0,1437.0,Typescript,Tipada
homebridge/homebridge,https://github.com/homebridge/homebridge,21889,108,9,1455,284.0,373.0,Typescript,Tipada
colinhacks/zod,https://github.com/colinhacks/zod,21842,223,0,1828,0.0,552.0,Typescript,Tipada
backstage/backstage,https://github.com/backstage/backstage,21786,1091,115,40368,1649.0,12955.0,Typescript,Tipada
felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,21780,16,0,197,0.0,61.0,Typescript,Tipada
react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,21697,469,20,4457,264.0,3182.0,Typescript,Tipada
directus/directus,https://github.com/directus/directus,21485,303,94,10285,1529.0,6173.0,Typescript,Tipada
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,21451,36,17,573,30.0,240.0,Typescript,Tipada
TanStack/table,https://github.com/TanStack/table,21404,365,0,2155,0.0,957.0,Typescript,Tipada
youzan/vant,https://github.com/youzan/vant,21284,287,0,9498,0.0,4850.0,Typescript,Tipada
electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21268,158,19,1110,343.0,1577.0,Typescript,Tipada
refined-github/refined-github,https://github.com/refined-github/refined-github,21049,294,49,3436,1381.0,3097.0,Typescript,Tipada
lensapp/lens,https://github.com/lensapp/lens,20992,108,417,3913,1437.0,4438.0,Typescript,Tipada
jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,20562,687,0,45071,0.0,14730.0,Typescript,Tipada
BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js,20539,475,0,39911,759.0,10944.0,Typescript,Tipada
Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo,20502,15,8,501,219.0,38.0,Typescript,Tipada
