nameWithOwner,url,stargazers,mentionableUsers,openIssues,closedIssues,commitsCount
umijs/qiankun,https://github.com/umijs/qiankun,14349,105,8,19,298
shadcn/ui,https://github.com/shadcn/ui,14194,46,2,2,124
pavlobu/deskreen,https://github.com/pavlobu/deskreen,14131,20,32,21,252
umijs/umi,https://github.com/umijs/umi,13975,428,0,3,7093
carloscuesta/gitmoji,https://github.com/carloscuesta/gitmoji,13927,96,0,12,974
adonisjs/core,https://github.com/adonisjs/core,13894,56,0,0,1903
trufflesuite/truffle,https://github.com/trufflesuite/truffle,13887,250,47,150,15413
baidu/amis,https://github.com/baidu/amis,13771,168,46,81,11147
BrainJS/brain.js,https://github.com/BrainJS/brain.js,13712,99,18,103,1487
foambubble/foam,https://github.com/foambubble/foam,13698,123,8,179,1034
conventional-changelog/commitlint,https://github.com/conventional-changelog/commitlint,13692,210,32,92,2342
formatjs/formatjs,https://github.com/formatjs/formatjs,13688,268,17,532,4633
angular-ui/ui-router,https://github.com/angular-ui/ui-router,13634,187,0,260,2121
usememos/memos,https://github.com/usememos/memos,13587,100,39,200,1169
rrweb-io/rrweb,https://github.com/rrweb-io/rrweb,13538,99,36,53,1146
transitive-bullshit/chatgpt-api,https://github.com/transitive-bullshit/chatgpt-api,13519,126,0,1,848
reduxjs/redux-devtools,https://github.com/reduxjs/redux-devtools,13497,107,11,21,1205
tldraw/tldraw,https://github.com/tldraw/tldraw,13399,118,9,29,1751
