nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
xtermjs/xterm.js,https://github.com/xtermjs/xterm.js,14911,264,0,8657,0.0,0.0,2201.0
graphql/graphiql,https://github.com/graphql/graphiql,14895,269,85,3643,697.4770833333333,118.0,2043.0
learn-anything/learn-anything,https://github.com/learn-anything/learn-anything,14805,5,0,5,0.0,0.0,9.0
verdaccio/verdaccio,https://github.com/verdaccio/verdaccio,14739,278,0,4921,0.0,0.0,2313.0
feathersjs/feathers,https://github.com/feathersjs/feathers,14587,211,2,3967,2561.837777777778,57.0,1053.0
cyrildiagne/ar-cutpaste,https://github.com/cyrildiagne/ar-cutpaste,14521,6,0,50,0.0,0.0,40.0
sass/sass,https://github.com/sass/sass,14494,26,4,526,2166.2297222222223,236.0,715.0
lit/lit,https://github.com/lit/lit,14493,155,0,2043,0.0,0.0,1925.0
shadcn/ui,https://github.com/shadcn/ui,14467,48,2,128,1612.8320833333332,2.0,186.0
umijs/qiankun,https://github.com/umijs/qiankun,14361,106,8,299,711.0941666666666,19.0,618.0
pavlobu/deskreen,https://github.com/pavlobu/deskreen,14139,20,32,252,3.894722222222222,21.0,70.0
umijs/umi,https://github.com/umijs/umi,13984,428,0,7097,51.37277777777778,3.0,3718.0
trufflesuite/truffle,https://github.com/trufflesuite/truffle,13891,250,47,15513,1823.335555555556,150.0,2870.0
baidu/amis,https://github.com/baidu/amis,13793,171,46,11203,294.31166666666667,87.0,3702.0
BrainJS/brain.js,https://github.com/BrainJS/brain.js,13716,99,18,1487,1428.7625,103.0,271.0
conventional-changelog/commitlint,https://github.com/conventional-changelog/commitlint,13713,210,32,2344,837.9625000000001,92.0,3080.0
foambubble/foam,https://github.com/foambubble/foam,13711,123,8,1036,319.8736111111112,179.0,584.0
formatjs/formatjs,https://github.com/formatjs/formatjs,13697,268,17,4635,549.8811111111111,532.0,2109.0
usememos/memos,https://github.com/usememos/memos,13663,100,36,1174,51.64222222222222,205.0,864.0
