nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
pmndrs/react-three-fiber,https://github.com/pmndrs/react-three-fiber,22449,204,18,2399,70.0,600.0,Typescript,Tipada,3.9983333333333335,1746.0,97.0,264.4872222222223,88.0
react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,22405,185,588,2627,2520.0,1672.0,Typescript,Tipada,1.5711722488038278,5996.0,648.0,127.11416666666668,3108.0
t4t5/sweetalert,https://github.com/t4t5/sweetalert,22244,62,3,363,20.0,290.0,Typescript,Tipada,1.2517241379310344,260.0,51.0,2518.0526388888893,23.0
marmelab/react-admin,https://github.com/marmelab/react-admin,22075,549,44,16475,1004.0,4747.0,Typescript,Tipada,3.470613018748683,28814.0,11862.0,120.45277777777778,1048.0
conwnet/github1s,https://github.com/conwnet/github1s,21929,43,0,351,13.0,291.0,Typescript,Tipada,1.2061855670103092,1803.0,97.0,124.60805555555557,13.0
withfig/autocomplete,https://github.com/withfig/autocomplete,21924,389,11,4267,49.0,1437.0,Typescript,Tipada,2.9693806541405707,1322.0,91.0,510.6619444444444,60.0
homebridge/homebridge,https://github.com/homebridge/homebridge,21889,108,9,1455,284.0,373.0,Typescript,Tipada,3.900804289544236,565.0,190.0,418.7554166666667,293.0
colinhacks/zod,https://github.com/colinhacks/zod,21842,223,0,1828,0.0,552.0,Typescript,Tipada,3.3115942028985508,2025.0,183.0,0.0,0.0
backstage/backstage,https://github.com/backstage/backstage,21786,1091,115,40368,1667.0,12955.0,Typescript,Tipada,3.1160169818602856,6676.0,586.0,86.34125,1782.0
felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,21780,16,0,197,0.0,61.0,Typescript,Tipada,3.229508196721312,210.0,12.0,0.0,0.0
react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,21697,469,20,4457,264.0,3182.0,Typescript,Tipada,1.400691389063482,2293.0,76.0,94.40263888888887,284.0
directus/directus,https://github.com/directus/directus,21485,303,94,10285,1546.0,6173.0,Typescript,Tipada,1.6661266807063015,122.0,19.0,103.64624999999998,1640.0
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,21451,36,17,573,34.0,240.0,Typescript,Tipada,2.3875,253.0,19.0,66.70430555555555,51.0
TanStack/table,https://github.com/TanStack/table,21404,365,0,2155,0.0,957.0,Typescript,Tipada,2.251828631138976,4549.0,199.0,0.0,0.0
youzan/vant,https://github.com/youzan/vant,21284,287,0,9498,0.0,4850.0,Typescript,Tipada,1.9583505154639176,6418.0,154.0,0.0,0.0
electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,21268,158,19,1110,343.0,1577.0,Typescript,Tipada,0.703868103994927,95.0,0.0,356.6859722222222,362.0
refined-github/refined-github,https://github.com/refined-github/refined-github,21049,294,49,3436,1389.0,3097.0,Typescript,Tipada,1.1094607684856312,2193.0,207.0,47.72444444444445,1438.0
lensapp/lens,https://github.com/lensapp/lens,20992,108,417,3913,1448.0,4438.0,Typescript,Tipada,0.8817034700315457,18951.0,559.0,95.04847222222224,1865.0
jhipster/generator-jhipster,https://github.com/jhipster/generator-jhipster,20562,687,0,45071,0.0,14730.0,Typescript,Tipada,3.059809911744739,9626.0,531.0,0.0,0.0
BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js,20539,475,0,39911,759.0,10944.0,Typescript,Tipada,3.646838450292398,8663.0,1955.0,47.14388888888889,759.0
Molunerfinn/PicGo,https://github.com/Molunerfinn/PicGo,20502,15,8,501,224.0,38.0,Typescript,Tipada,13.18421052631579,1459.0,114.0,0.4755555555555555,232.0
tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,20451,77,0,595,7.0,528.0,Typescript,Tipada,1.1268939393939394,7534.0,259.0,1251.4261111111111,7.0
novuhq/novu,https://github.com/novuhq/novu,20446,276,8,10928,48.0,2295.0,Typescript,Tipada,4.761655773420479,11161.0,765.0,213.0338888888889,56.0
jquense/yup,https://github.com/jquense/yup,20326,154,6,751,22.0,485.0,Typescript,Tipada,1.5484536082474227,1158.0,181.0,4001.646111111111,28.0
recharts/recharts,https://github.com/recharts/recharts,20241,249,64,2247,150.0,799.0,Typescript,Tipada,2.8122653316645807,2595.0,121.0,3282.6608333333334,214.0
