nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
Curzibn/Luban,https://github.com/Curzibn/Luban,13243,9,0,187.0,5,33.0,Java,Tipada
Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,13136,177,41,1951.0,358,1055.0,Java,Tipada
google/tink,https://github.com/google/tink,13134,118,0,6342.0,7,224.0,Java,Tipada
JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,12971,4,0,333.0,0,7.0,Java,Tipada
deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,12926,62,108,2677.0,1170,4274.0,Java,Tipada
seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,12861,4,0,101.0,0,23.0,Java,Tipada
pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,12743,118,12,13040.0,344,6046.0,Java,Tipada
GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,12736,125,0,2268.0,0,2489.0,Java,Tipada
facebookarchive/stetho,https://github.com/facebookarchive/stetho,12644,55,2,588.0,37,321.0,Java,Tipada
apache/pulsar,https://github.com/apache/pulsar,12634,633,0,11556.0,0,13738.0,Java,Tipada
Netflix/zuul,https://github.com/Netflix/zuul,12600,605,5,1473.0,8,1026.0,Java,Tipada
apache/druid,https://github.com/apache/druid,12584,567,222,12695.0,504,9584.0,Java,Tipada
greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,12577,6,7,883.0,29,128.0,Java,Tipada
java-decompiler/jd-gui,https://github.com/java-decompiler/jd-gui,12465,9,0,253.0,3,57.0,Java,Tipada
LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector,12413,9,0,3893.0,1,58.0,Java,Tipada
zhihu/Matisse,https://github.com/zhihu/Matisse,12410,32,8,223.0,10,172.0,Java,Tipada
youth5201314/banner,https://github.com/youth5201314/banner,12371,11,1,237.0,1,32.0,Java,Tipada
sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,12316,14,0,290.0,0,44.0,Java,Tipada
