nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime
google/guice,https://github.com/google/guice,11950,87,7,2076.0,201.0,576.0,Java,Tipada,3.6041666666666665,10176,1719,0.0002777777777777
Netflix/eureka,https://github.com/Netflix/eureka,11807,651,2,1687.0,20.0,847.0,Java,Tipada,1.991735537190083,7210,1660,666.2165277777777
quarkusio/quarkus,https://github.com/quarkusio/quarkus,11727,797,0,38037.0,0.0,18420.0,Java,Tipada,2.064983713355049,138024,24554,0.0
codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,11678,169,10,2182.0,322.0,916.0,Java,Tipada,2.382096069868996,4862,1210,276.65625
Tencent/VasSonic,https://github.com/Tencent/VasSonic,11661,16,0,372.0,0.0,115.0,Java,Tipada,3.234782608695652,1783,2591,0.0
kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,11591,121,0,813.0,0.0,830.0,Java,Tipada,0.9795180722891568,1291,862,0.0
Yalantis/uCrop,https://github.com/Yalantis/uCrop,11497,58,8,359.0,20.0,201.0,Java,Tipada,1.7860696517412935,899,121,3913.3440277777777
realm/realm-java,https://github.com/realm/realm-java,11385,162,0,8968.0,0.0,3205.0,Java,Tipada,2.798127925117005,22813,4393,0.0
questdb/questdb,https://github.com/questdb/questdb,11367,106,54,4073.0,285.0,2017.0,Java,Tipada,2.019335647000496,68284,13293,223.03541666666663
neo4j/neo4j,https://github.com/neo4j/neo4j,11359,377,155,76568.0,1061.0,9736.0,Java,Tipada,7.864420706655711,119169,13576,277.4776388888889
apache/zookeeper,https://github.com/apache/zookeeper,11251,208,0,2475.0,0.0,1994.0,Java,Tipada,1.241223671013039,22841,5749,0.0
janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,11172,7,0,26.0,0.0,6.0,Java,Tipada,4.333333333333333,0,2,0.0
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,11132,57,0,2934.0,150.0,634.0,Java,Tipada,4.62776025236593,5738,1192,350.24222222222227
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,11128,23,0,336.0,6.0,130.0,Java,Tipada,2.5846153846153848,744,84,326.45125
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,11123,33,1,787.0,41.0,301.0,Java,Tipada,2.614617940199336,1219,489,694.8408333333333
theonedev/onedev,https://github.com/theonedev/onedev,11119,26,0,5406.0,0.0,52.0,Java,Tipada,103.96153846153848,65880,16464,0.0
redis/jedis,https://github.com/redis/jedis,11056,204,2,2160.0,29.0,1605.0,Java,Tipada,1.3457943925233644,11322,2197,68.17916666666666
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,10838,1,0,42.0,0.0,24.0,Java,Tipada,1.75,577,120,0.0
alibaba/vlayout,https://github.com/alibaba/vlayout,10837,20,3,366.0,17.0,23.0,Java,Tipada,15.91304347826087,3075,579,35.82111111111111
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,10836,10,5,593.0,3.0,26.0,Java,Tipada,22.807692307692307,8477,2305,1162.8619444444444
code4craft/webmagic,https://github.com/code4craft/webmagic,10812,48,13,1210.0,66.0,200.0,Java,Tipada,6.05,1775,692,83.33263888888888
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,10797,13,6,834.0,88.0,67.0,Java,Tipada,12.447761194029852,2805,415,115.37041666666669
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,10790,205,122,9006.0,690.0,3185.0,Java,Tipada,2.827629513343799,35436,39803,51.06541666666666
Tencent/matrix,https://github.com/Tencent/matrix,10790,39,20,3302.0,16.0,238.0,Java,Tipada,13.873949579831931,13572,3910,978.9969444444444
dataease/dataease,https://github.com/dataease/dataease,10774,38,0,9498.0,0.0,3118.0,Java,Tipada,3.046183450930084,30302,3841,0.0
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,10657,76,0,899.0,0.0,287.0,Java,Tipada,3.132404181184669,1491,299,0.0
grpc/grpc-java,https://github.com/grpc/grpc-java,10534,353,41,5845.0,283.0,7030.0,Java,Tipada,0.8314366998577525,7039,29397,272.995
jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,10517,4,0,250.0,1.0,19.0,Java,Tipada,13.157894736842104,2619,437,962.8005555555555
lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,10449,29,13,1858.0,65.0,72.0,Java,Tipada,25.80555555555556,1037,336,1103.1152777777777
YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,10446,27,0,1281.0,3.0,35.0,Java,Tipada,36.6,5166,1152,1635.1755555555555
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,10439,22,0,228.0,7.0,77.0,Java,Tipada,2.961038961038961,140,42,784.0097222222222
apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,10396,477,160,7790.0,2588.0,7140.0,Java,Tipada,1.0910364145658262,21411,3585,211.92027777777776
aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,10383,1404,0,814375.0,0.0,126.0,Java,Tipada,6463.293650793651,743239,100792,0.0
yuliskov/SmartTubeNext,https://github.com/yuliskov/SmartTubeNext,10262,70,0,7448.0,0.0,823.0,Java,Tipada,9.0498177399757,35697,3680,0.0
