nameWithOwner,url,stargazers,mentionableUsers,openIssues,closedIssues,commitsCount
daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,12273,19,0,1,145
dromara/Sa-Token,https://github.com/dromara/Sa-Token,12210,93,0,2,1474
doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,12011,377,0,0,596
macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,11990,1,0,0,522
projectlombok/lombok,https://github.com/projectlombok/lombok,11957,126,11,18,3536
google/guice,https://github.com/google/guice,11950,87,7,201,2076
Netflix/eureka,https://github.com/Netflix/eureka,11807,651,2,20,1687
quarkusio/quarkus,https://github.com/quarkusio/quarkus,11727,797,0,0,38037
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,11685,28,2,14,622
codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,11678,169,10,319,2182
Tencent/VasSonic,https://github.com/Tencent/VasSonic,11661,16,0,0,372
kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,11591,121,0,0,813
Yalantis/uCrop,https://github.com/Yalantis/uCrop,11497,58,8,20,359
realm/realm-java,https://github.com/realm/realm-java,11385,162,0,0,8968
questdb/questdb,https://github.com/questdb/questdb,11367,106,54,278,4073
neo4j/neo4j,https://github.com/neo4j/neo4j,11359,377,155,1056,76568
apache/zookeeper,https://github.com/apache/zookeeper,11251,208,0,0,2475
janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,11172,7,0,0,26
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,11132,57,0,0,2934
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,11128,23,0,6,336
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,11123,33,1,41,787
theonedev/onedev,https://github.com/theonedev/onedev,11119,26,0,0,5406
frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,11107,28,0,0,845
redis/jedis,https://github.com/redis/jedis,11056,204,2,29,2160
DuGuQiuBai/Java,https://github.com/DuGuQiuBai/Java,11048,1,0,0,33
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,10838,1,0,0,42
alibaba/vlayout,https://github.com/alibaba/vlayout,10837,20,3,17,366
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,10836,10,5,3,593
code4craft/webmagic,https://github.com/code4craft/webmagic,10812,48,13,66,1210
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,10797,13,6,88,834
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,10790,205,122,690,9006
Tencent/matrix,https://github.com/Tencent/matrix,10790,39,20,16,3302
dataease/dataease,https://github.com/dataease/dataease,10774,38,0,0,9498
gyf-dev/ImmersionBar,https://github.com/gyf-dev/ImmersionBar,10764,3,0,8,171
mission-peace/interview,https://github.com/mission-peace/interview,10746,20,0,0,805
careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,10665,20,0,0,393
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,10657,76,0,0,899
grpc/grpc-java,https://github.com/grpc/grpc-java,10534,353,41,281,5845
jeasonlzy/okhttp-OkGo,https://github.com/jeasonlzy/okhttp-OkGo,10517,4,0,1,250
gyoogle/tech-interview-for-developer,https://github.com/gyoogle/tech-interview-for-developer,10503,66,0,0,788
daniulive/SmarterStreaming,https://github.com/daniulive/SmarterStreaming,10482,1,0,0,1496
lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,10449,29,13,65,1858
YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,10446,27,0,4,1281
