nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
hexojs/hexo,https://github.com/hexojs/hexo,36708,184,7,3589.0,254.0,1145.0,Javascript,NaoTipada,3.1344978165938864,1991,12,2523.214027777778,261.0
gorhill/uBlock,https://github.com/gorhill/uBlock,35610,104,0,10854.0,0.0,366.0,Javascript,NaoTipada,29.65573770491803,13536,740,0.0,0.0
videojs/video.js,https://github.com/videojs/video.js,35511,436,79,3941.0,378.0,3001.0,Javascript,NaoTipada,1.3132289236921026,6144,342,196.8898611111111,457.0
quilljs/quill,https://github.com/quilljs/quill,35498,134,52,5368.0,218.0,576.0,Javascript,NaoTipada,9.319444444444445,2226,68,254.01125,270.0
nolimits4web/swiper,https://github.com/nolimits4web/swiper,35052,264,0,3380.0,0.0,779.0,Javascript,NaoTipada,4.338896020539153,3752,163,0.0,0.0
alvarotrigo/fullPage.js,https://github.com/alvarotrigo/fullPage.js,34533,141,24,2146.0,257.0,508.0,Javascript,NaoTipada,4.224409448818897,1856,1702,677.8351388888889,281.0
preactjs/preact,https://github.com/preactjs/preact,34353,305,13,5304.0,175.0,2115.0,Javascript,NaoTipada,2.5078014184397164,6743,749,154.0601388888889,188.0
photonstorm/phaser,https://github.com/photonstorm/phaser,34261,544,0,18802.0,0.0,2250.0,Javascript,NaoTipada,8.356444444444444,33032,26786,0.0,0.0
koajs/koa,https://github.com/koajs/koa,33965,233,10,1183.0,9.0,813.0,Javascript,NaoTipada,1.4551045510455105,870,5,409.90472222222223,19.0
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,33953,281,94,3197.0,546.0,445.0,Javascript,NaoTipada,7.1842696629213485,688,799,810.4215277777778,640.0
adobe/brackets,https://github.com/adobe/brackets,33451,590,0,17847.0,0.0,5606.0,Javascript,NaoTipada,3.1835533357117374,30200,11535,0.0,0.0
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,33123,61,4,396.0,38.0,226.0,Javascript,NaoTipada,1.752212389380531,140,10,431.14,42.0
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,32901,320,73,4190.0,255.0,954.0,Javascript,NaoTipada,4.39203354297694,3122,178,20.277500000000003,328.0
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,32788,181,0,769.0,0.0,320.0,Javascript,NaoTipada,2.403125,13095,3568,0.0,0.0
gulpjs/gulp,https://github.com/gulpjs/gulp,32752,248,1,1198.0,28.0,664.0,Javascript,NaoTipada,1.8042168674698795,96,80,1486.6679166666668,29.0
carbon-app/carbon,https://github.com/carbon-app/carbon,32482,175,14,1854.0,83.0,796.0,Javascript,NaoTipada,2.329145728643216,883,25,158.41,97.0
naptha/tesseract.js,https://github.com/naptha/tesseract.js,30319,67,0,707.0,1.0,179.0,Javascript,NaoTipada,3.9497206703910615,374,25,4270.072777777777,1.0
atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,29904,189,0,802.0,0.0,949.0,Javascript,NaoTipada,0.845100105374078,2351,39,0.0,0.0
markedjs/marked,https://github.com/markedjs/marked,29641,158,0,2987.0,0.0,1402.0,Javascript,NaoTipada,2.130527817403709,1439,230,0.0,0.0
vuejs/vue-cli,https://github.com/vuejs/vue-cli,29638,515,38,3531.0,272.0,1802.0,Javascript,NaoTipada,1.9594894561598224,4004,116,162.72972222222222,310.0
typicode/husky,https://github.com/typicode/husky,29378,105,0,866.0,14.0,351.0,Javascript,NaoTipada,2.467236467236467,24,0,1185.600416666667,14.0
react-boilerplate/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,29125,222,0,1457.0,145.0,1194.0,Javascript,NaoTipada,1.2202680067001674,1078,31,237.6590277777778,145.0
odoo/odoo,https://github.com/odoo/odoo,28991,2267,0,159120.0,0.0,103222.0,Javascript,NaoTipada,1.541531843986747,141891,19148,0.0,0.0
airbnb/lottie-web,https://github.com/airbnb/lottie-web,28379,108,3,2357.0,6.0,218.0,Javascript,NaoTipada,10.811926605504588,4909,2742,10667.609444444444,9.0
goabstract/Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,28320,232,0,1649.0,0.0,385.0,Javascript,NaoTipada,4.283116883116883,171,83,0.0,0.0
vuejs/vuex,https://github.com/vuejs/vuex,28020,354,1,1209.0,17.0,961.0,Javascript,NaoTipada,1.2580645161290325,1172,29,239.4508333333333,18.0
jashkenas/backbone,https://github.com/jashkenas/backbone,28003,324,4,3454.0,186.0,1849.0,Javascript,NaoTipada,1.8680367766360195,1557,1079,42.18861111111111,190.0
kenwheeler/slick,https://github.com/kenwheeler/slick,27965,151,0,925.0,0.0,686.0,Javascript,NaoTipada,1.348396501457726,600,138,0.0,0.0
Kong/insomnia,https://github.com/Kong/insomnia,27951,307,0,4006.0,0.0,2380.0,Javascript,NaoTipada,1.6831932773109244,6728,757,0.0,0.0
Binaryify/NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,27854,83,0,1317.0,13.0,410.0,Javascript,NaoTipada,3.21219512195122,982,101,65.85111111111111,13.0
caolan/async,https://github.com/caolan/async,27853,232,0,1883.0,76.0,780.0,Javascript,NaoTipada,2.414102564102564,4680,1574,256.37319444444444,76.0
webtorrent/webtorrent,https://github.com/webtorrent/webtorrent,27836,174,22,3314.0,90.0,880.0,Javascript,NaoTipada,3.765909090909091,1118,15,633.8052777777777,112.0
sequelize/sequelize,https://github.com/sequelize/sequelize,27826,1049,0,10013.0,1244.0,5564.0,Javascript,NaoTipada,1.79960460100647,9766,472,695.3011111111111,1244.0
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,27448,255,0,2768.0,0.0,593.0,Javascript,NaoTipada,4.66779089376054,2960,2010,0.0,0.0
layui/layui,https://github.com/layui/layui,27295,41,0,1202.0,1.0,412.0,Javascript,NaoTipada,2.91747572815534,4335,2439,26914.08944444445,1.0
fastify/fastify,https://github.com/fastify/fastify,27217,622,1,3649.0,203.0,2772.0,Javascript,NaoTipada,1.3163780663780664,6673,265,122.88444444444444,204.0
VincentGarreau/particles.js,https://github.com/VincentGarreau/particles.js,27129,14,1,235.0,2.0,110.0,Javascript,NaoTipada,2.136363636363636,290,137,7814.612916666667,3.0
