nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
prettier/prettier,https://github.com/prettier/prettier,45506,632,0,8421.0,0.0,0.0,8594.0
juliangarnier/anime,https://github.com/juliangarnier/anime,45085,51,11,736.0,4048.458611111111,22.0,154.0
cypress-io/cypress,https://github.com/cypress-io/cypress,43317,469,0,19615.0,549.0169444444444,1031.0,6554.0
TryGhost/Ghost,https://github.com/TryGhost/Ghost,43074,483,18,33964.0,473.0998611111111,1731.0,10115.0
iamkun/dayjs,https://github.com/iamkun/dayjs,42990,306,0,1454.0,0.0,0.0,945.0
algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,42772,25,0,667.0,60.73333333333333,1.0,250.0
mozilla/pdf.js,https://github.com/mozilla/pdf.js,42380,374,0,17199.0,0.0,0.0,7396.0
parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,42321,376,0,2917.0,0.0,0.0,2807.0
yarnpkg/yarn,https://github.com/yarnpkg/yarn,41157,528,3,2353.0,109.91513888888888,6.0,2279.0
marktext/marktext,https://github.com/marktext/marktext,39662,140,0,1599.0,0.0,0.0,1059.0
nwjs/nw.js,https://github.com/nwjs/nw.js,39573,108,478,4951.0,191.5688888888889,432.0,826.0
Unitech/pm2,https://github.com/Unitech/pm2,39000,274,0,4998.0,0.0,0.0,856.0
Dogfalo/materialize,https://github.com/Dogfalo/materialize,38827,260,33,3878.0,3181.987222222222,211.0,1441.0
dcloudio/uni-app,https://github.com/dcloudio/uni-app,38048,201,23,10183.0,148.60458333333332,266.0,330.0
agalwood/Motrix,https://github.com/agalwood/Motrix,37628,67,0,1142.0,0.0,0.0,254.0
GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,37569,57,5,1428.0,51.58722222222222,49.0,475.0
Leaflet/Leaflet,https://github.com/Leaflet/Leaflet,37460,788,109,7644.0,15.89625,773.0,3813.0
google/zx,https://github.com/google/zx,37259,46,3,480.0,1207.8377777777778,8.0,209.0
impress/impress.js,https://github.com/impress/impress.js,37191,83,0,413.0,188.8205555555556,5.0,374.0
iamadamdev/bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,36770,54,0,616.0,1977.338888888889,1.0,194.0
hexojs/hexo,https://github.com/hexojs/hexo,36708,184,7,3589.0,2523.214027777778,254.0,1145.0
